,0,1,2,3
5387,Al,105.10,,
5393,Al,105.27,,
5399,Al,105.27,,
5405,Al,105.18,,
5411,Al,105.27,,
5417,Al,104.76,,
5423,Al,105.35,,
5429,Al,105.35,,
5435,Al,104.60,,
5441,Al,105.18,,
5447,Al,105.27,,
5453,Al,105.52,,
5459,Al,105.61,,
5465,Al,105.44,,
5471,Al,105.02,,
5477,Al,105.35,,
5483,Al,105.52,,
5489,Al,105.18,,
5495,Al,104.76,,
5501,Al,103.84,,
5507,Al,104.76,,
5513,Al,105.52,,
5519,Al,105.35,,
5525,Al,105.35,,
5531,Al,105.44,,
5537,Al,105.44,,
5543,Al,104.76,,
5549,Al,105.18,,
5555,Al,104.60,,
5561,Al,105.18,,
5567,Al,105.44,,
5573,Al,105.02,,
5579,Al,105.44,,
5585,Al,105.35,,
5591,Al,105.35,,
5597,Al,105.18,,
5603,Al,105.77,,
5609,Al,105.02,,
5615,Al,105.18,,
5621,Al,105.35,,
5627,Al,105.18,,
5633,Al,105.52,,
5639,Al,105.27,,
5645,Al,105.61,,
5651,Al,105.18,,
5657,Al,105.18,,
5663,Al,105.10,,
5669,Al,105.44,,
5675,Al,105.18,,
5681,Al,105.69,,
5687,Al,105.18,,
5693,Al,105.27,,
5699,Al,105.52,,
5705,Al,105.35,,
5711,Al,105.02,,
5717,Al,105.35,,
5723,Al,106.19,,
5729,Al,105.94,,
5735,Al,105.69,,
5741,Al,105.44,,
5747,Al,105.18,,
5753,Al,105.69,,
5759,Al,105.61,,
5765,Al,105.52,,
5771,Al,105.69,,
5777,Al,105.18,,
5783,Al,105.52,,
5789,Al,105.35,,
5795,Al,105.52,,
5801,Al,105.18,,
5807,Al,104.76,,
5813,Al,105.86,,
5819,Al,105.44,,
5825,Al,105.35,,
5831,Al,105.69,,
5837,Al,105.61,,
5843,Al,105.35,,
5849,Al,105.52,,
5855,Al,105.44,,
5861,Al,105.18,,
5867,Al,105.02,,
5873,Al,105.52,,
5879,Al,105.77,,
5885,Al,105.35,,
5891,Al,105.02,,
5897,Al,104.51,,
5903,Al,105.44,,
5909,Al,105.35,,
5915,Al,105.18,,
5921,Al,105.69,,
5927,Al,105.61,,
5933,Al,105.44,,
5939,Al,105.35,,
5945,Al,105.10,,
5951,Al,105.27,,
5957,Al,105.10,,
5963,Al,105.27,,
5969,Al,105.18,,
5975,Al,105.27,,
5981,Al,105.18,,
5987,Al,105.18,,
5993,Al,105.10,,
5999,Al,105.18,,
6005,Al,105.02,,
6011,Al,105.02,,
6017,Al,105.35,,
6023,Al,105.18,,
6029,Al,105.44,,
6035,Al,105.61,,
