,0,1,2,3
1867,Gyro,-0.33,-0.36,0.21
1873,Gyro,-0.24,0.02,0.27
1879,Gyro,0.22,0.01,0.26
1885,Gyro,0.09,0.18,0.11
1891,Gyro,0.14,-0.20,-0.41
1897,Gyro,-0.47,0.14,-0.00
1903,Gyro,-0.01,0.52,0.03
1909,Gyro,-0.13,-0.43,-0.11
1915,Gyro,-0.59,-0.36,-0.25
1921,Gyro,-0.60,0.49,-1.70
1927,Gyro,0.73,-0.03,-0.06
1933,Gyro,0.34,0.16,-0.35
1939,Gyro,0.56,-0.38,0.59
1945,Gyro,0.10,-0.64,0.67
1951,Gyro,-0.54,0.28,0.43
1957,Gyro,-0.74,-0.44,0.50
1963,Gyro,-1.29,0.70,-0.34
1969,Gyro,0.14,-0.13,0.02
1975,Gyro,-0.35,-0.65,0.74
1981,Gyro,-0.03,0.09,0.56
1987,Gyro,-0.02,-0.21,-0.74
1993,Gyro,-0.69,-0.45,0.30
1999,Gyro,-0.08,0.28,-0.23
2005,Gyro,-0.45,-0.27,-1.12
2011,Gyro,0.37,-0.15,-0.71
2017,Gyro,-0.33,-0.49,0.17
2023,Gyro,-0.52,0.17,-0.16
2029,Gyro,-0.71,-0.12,0.06
2035,Gyro,-0.05,-0.27,-0.00
2041,Gyro,-0.25,-0.76,0.71
2047,Gyro,-0.16,-0.08,0.33
2053,Gyro,-0.95,-0.56,0.15
2059,Gyro,-0.83,-0.18,0.32
2065,Gyro,-0.37,-0.08,-0.40
2071,Gyro,-0.70,-0.09,-0.40
2077,Gyro,-0.91,-0.68,0.81
2083,Gyro,0.04,-0.79,0.09
2089,Gyro,-0.01,-0.36,-0.31
2095,Gyro,-0.19,-0.17,0.11
2101,Gyro,-0.32,-0.00,0.36
2107,Gyro,-0.12,-0.27,-1.14
2113,Gyro,0.21,-0.17,0.62
2119,Gyro,0.76,0.68,-0.79
2125,Gyro,-0.32,-0.53,0.47
2131,Gyro,-0.77,-0.06,0.67
2137,Gyro,0.04,-0.02,-0.35
2143,Gyro,-0.29,0.11,0.75
2149,Gyro,-0.19,-0.39,-0.08
2155,Gyro,-0.34,-0.42,0.27
2161,Gyro,-0.32,-0.34,-0.17
2167,Gyro,-0.74,0.38,-1.29
2173,Gyro,0.02,0.40,0.31
2179,Gyro,0.51,0.59,-0.56
2185,Gyro,-0.16,0.43,-0.99
2191,Gyro,-0.05,0.22,-0.27
2197,Gyro,-0.09,0.48,-0.79
2203,Gyro,-0.20,-0.54,0.65
2209,Gyro,-0.32,0.54,-0.10
2215,Gyro,-0.69,-1.20,0.65
2221,Gyro,-0.36,-0.34,0.01
2227,Gyro,-0.97,-0.71,0.15
2233,Gyro,-0.04,-0.53,0.16
2239,Gyro,-0.03,-0.29,0.22
2245,Gyro,0.02,-0.26,0.07
2251,Gyro,0.10,0.83,0.13
2257,Gyro,-0.38,-0.02,-0.05
2263,Gyro,-0.19,0.62,0.10
2269,Gyro,0.42,0.36,-0.41
2275,Gyro,-0.00,-0.08,-0.23
2281,Gyro,-0.14,-0.14,-0.17
2287,Gyro,-0.04,-0.69,1.02
2293,Gyro,0.13,-0.09,0.47
2299,Gyro,-0.31,0.09,0.30
2305,Gyro,0.31,0.59,-0.59
2311,Gyro,-0.30,-0.01,0.08
2317,Gyro,0.15,-0.50,-0.49
2323,Gyro,-0.27,-0.89,0.44
2329,Gyro,-0.04,0.32,0.09
2335,Gyro,0.03,0.08,0.21
2341,Gyro,-0.77,-0.25,0.89
2347,Gyro,-0.10,0.14,-0.09
2353,Gyro,-0.58,-0.94,0.80
2359,Gyro,-0.09,-0.36,0.11
2365,Gyro,-0.18,-0.32,0.39
2371,Gyro,-0.35,-1.36,0.08
2377,Gyro,-0.39,-0.00,0.18
2383,Gyro,-0.15,-0.53,0.25
