,0,1,2,3
1738,Gyro,-0.22,0.27,-0.18
1744,Gyro,-0.58,1.42,18.64
1750,Gyro,-0.61,1.68,18.82
1756,Gyro,-5.67,-0.97,16.05
1762,Gyro,6.46,-6.51,-5.38
1768,Gyro,-26.94,-7.71,5.87
1774,Gyro,-3.42,-1.69,5.02
1780,Gyro,0.65,0.56,5.17
1786,Gyro,1.55,0.83,5.05
1792,Gyro,4.85,-7.43,1.88
1798,Gyro,-1.31,10.75,-1.36
1804,Gyro,7.08,5.90,0.23
1810,Gyro,3.50,1.65,-1.25
1816,Gyro,1.43,0.11,3.61
1822,Gyro,0.65,6.15,5.57
1828,Gyro,1.13,6.39,10.74
1834,Gyro,0.71,0.49,14.91
1840,Gyro,-0.57,0.89,19.84
1846,Gyro,0.42,0.79,26.24
1852,Gyro,1.24,3.29,65.01
1858,Gyro,-0.08,3.06,54.69
1864,Gyro,-0.28,0.82,22.11
1870,Gyro,-0.55,0.30,1.68
1876,Gyro,-0.29,0.73,1.12
1882,Gyro,9.49,26.58,-0.31
1888,Gyro,-1.41,-0.10,10.71
1894,Gyro,0.49,1.84,5.97
1900,Gyro,-1.51,-1.26,-1.58
1906,Gyro,-1.75,-2.85,3.08
1912,Gyro,-5.02,-12.39,7.96
1918,Gyro,-6.32,-14.76,10.46
1924,Gyro,0.58,1.92,3.50
1930,Gyro,-5.20,-13.29,4.89
1936,Gyro,-5.54,-12.21,0.53
1942,Gyro,-6.43,-16.19,6.02
1948,Gyro,-3.09,-5.48,1.47
1954,Gyro,-0.66,0.33,-0.06
1960,Gyro,0.02,-0.30,0.06
1966,Gyro,-0.48,-0.15,-0.49
1972,Gyro,-0.71,-0.05,-0.05
1978,Gyro,0.85,0.98,0.73
1984,Gyro,-0.18,0.05,0.82
1990,Gyro,-1.50,-0.08,0.51
1996,Gyro,-0.45,-0.22,1.16
2002,Gyro,-0.42,-1.17,0.44
2008,Gyro,0.07,-0.73,0.11
2014,Gyro,1.30,0.07,-0.56
2020,Gyro,0.03,-0.66,-0.16
2026,Gyro,0.78,0.33,0.37
2032,Gyro,-0.03,-0.47,1.47
2038,Gyro,0.51,0.89,0.63
2044,Gyro,-0.72,0.40,0.52
2050,Gyro,-0.57,-0.98,7.39
2056,Gyro,-0.36,-3.29,16.61
2062,Gyro,-2.34,-11.92,26.73
2068,Gyro,34.84,20.27,5.38
2074,Gyro,-2.20,-8.38,11.09
2080,Gyro,-1.88,-4.43,-2.03
2086,Gyro,1.07,2.89,3.12
2092,Gyro,1.96,3.56,5.87
2098,Gyro,0.17,-0.12,7.38
2104,Gyro,-0.51,-0.93,2.20
2110,Gyro,-0.09,-0.62,-0.11
2116,Gyro,-0.93,-1.17,-0.33
2122,Gyro,1.09,2.47,0.93
2128,Gyro,1.11,1.49,1.27
2134,Gyro,2.50,4.79,-2.90
2140,Gyro,-1.20,-1.24,-1.54
2146,Gyro,2.81,11.07,-6.07
2152,Gyro,-1.50,-0.41,-3.80
2158,Gyro,-1.75,-2.33,-1.01
2164,Gyro,1.58,5.99,-2.70
2170,Gyro,0.87,0.44,0.22
2176,Gyro,0.03,-0.03,-0.38
2182,Gyro,0.59,0.49,-0.81
2188,Gyro,-0.39,0.05,-0.10
2194,Gyro,-1.76,-4.47,-2.74
2200,Gyro,2.65,6.67,-0.49
2206,Gyro,2.34,5.43,-0.28
2212,Gyro,3.44,10.17,-13.27
2218,Gyro,-4.11,-10.02,-2.28
2224,Gyro,-3.16,-8.64,-12.74
2230,Gyro,-0.63,-2.87,-0.85
2236,Gyro,-0.53,-0.55,0.49
2242,Gyro,2.36,6.01,-0.58
2248,Gyro,-1.50,-0.08,-10.65
2254,Gyro,0.02,9.40,-13.61
2260,Gyro,12.57,83.69,-15.96
2266,Gyro,-0.51,-0.38,-1.12
2272,Gyro,-1.92,-12.06,2.72
2278,Gyro,3.85,26.37,2.43
2284,Gyro,0.12,-0.43,0.18
2290,Gyro,0.32,-0.03,0.73
2296,Gyro,0.01,-0.08,-0.61
2302,Gyro,1.63,2.68,-0.11
2308,Gyro,-0.56,-1.22,0.61
2314,Gyro,-0.02,-0.47,-0.08
2320,Gyro,-0.40,-0.97,1.14
2326,Gyro,0.88,0.35,-0.58
2332,Gyro,0.60,0.31,0.59
2338,Gyro,0.22,0.27,10.45
2344,Gyro,0.54,0.70,12.75
2350,Gyro,-0.53,-0.46,0.07
2356,Gyro,-0.37,-3.41,-0.46
2362,Gyro,-2.55,-10.34,0.79
2368,Gyro,-54.96,-20.05,18.83
2374,Gyro,22.64,3.83,14.21
2380,Gyro,-3.47,1.87,11.70
2386,Gyro,-13.81,-2.14,9.82
2392,Gyro,-10.34,-4.50,7.43
2398,Gyro,3.72,-3.08,7.01
2404,Gyro,-2.03,-12.90,7.66
2410,Gyro,-0.05,-26.99,12.80
2416,Gyro,12.65,-2.59,2.34
2422,Gyro,-8.69,30.03,-10.49
2428,Gyro,-0.69,0.76,-7.66
2434,Gyro,7.86,13.52,-7.14
2440,Gyro,7.68,34.71,-6.57
2446,Gyro,-9.92,5.21,2.85
2452,Gyro,-20.35,17.10,-3.82
2458,Gyro,-4.76,-9.20,8.65
2464,Gyro,-3.23,0.32,5.42
2470,Gyro,2.62,-17.63,4.82
2476,Gyro,17.61,13.30,2.63
2482,Gyro,-29.99,-15.52,40.22
2488,Gyro,37.86,-10.22,-0.65
2494,Gyro,-58.63,-27.44,19.21
2500,Gyro,50.20,6.04,-0.45
2506,Gyro,-11.08,2.12,10.24
2512,Gyro,-7.41,2.92,3.54
2518,Gyro,26.34,24.20,3.72
2524,Gyro,1.71,9.42,11.63
2530,Gyro,45.32,-36.92,-37.08
2536,Gyro,-14.36,-1.55,13.19
2542,Gyro,1.88,9.00,-7.11
2548,Gyro,13.31,4.62,-4.17
2554,Gyro,6.37,-5.81,-1.25
2560,Gyro,8.74,-10.04,-13.80
2566,Gyro,-2.81,1.52,-2.35
2572,Gyro,-10.24,43.18,23.32
2578,Gyro,19.84,-14.83,-14.06
2584,Gyro,4.43,-27.22,-5.83
2590,Gyro,6.47,1.41,4.96
2596,Gyro,-9.63,-11.96,3.27
2602,Gyro,-3.09,8.67,4.04
2608,Gyro,-6.44,-5.76,-1.67
2614,Gyro,8.00,0.89,-3.52
2620,Gyro,0.46,-4.56,-0.86
2626,Gyro,-0.98,-1.31,-1.65
2632,Gyro,-0.11,-1.66,0.24
2638,Gyro,-0.35,0.62,0.11
2644,Gyro,-0.88,2.05,1.97
2650,Gyro,3.04,-0.82,-0.40
2656,Gyro,-0.56,-0.59,-1.02
2662,Gyro,-14.80,6.43,6.72
2668,Gyro,-9.10,-11.72,5.74
2674,Gyro,-8.55,-5.27,7.00
2680,Gyro,-2.96,-2.52,1.32
2686,Gyro,-4.74,-1.57,2.39
2692,Gyro,3.22,2.65,-0.22
2698,Gyro,1.38,1.69,-2.02
2704,Gyro,6.06,4.12,-1.43
2710,Gyro,1.52,0.92,-0.71
